"","choice","countries","sanctions"
"36913","Not supported","80 of 192","None"
"36921","Not supported","20 of 192","15%"
"36929","Not supported","80 of 192","15%"
"36937","Not supported","80 of 192","20%"
"36945","Not supported","80 of 192","15%"
"36953","Not supported","80 of 192","5%"
"36961","Supported","80 of 192","15%"
"36969","Supported","80 of 192","5%"
"36977","Not supported","20 of 192","None"
"36985","Supported","160 of 192","5%"
"36993","Supported","160 of 192","20%"
"37001","Not supported","160 of 192","15%"
"37009","Not supported","20 of 192","20%"
"37017","Supported","80 of 192","5%"
"37025","Not supported","160 of 192","15%"
"37033","Supported","160 of 192","20%"
"37041","Supported","20 of 192","20%"
"37049","Supported","160 of 192","15%"
"37057","Supported","160 of 192","15%"
"37065","Supported","160 of 192","20%"
"37073","Supported","160 of 192","None"
"37081","Supported","20 of 192","5%"
"37089","Not supported","80 of 192","None"
"37097","Not supported","80 of 192","20%"
"37105","Supported","20 of 192","15%"
"37113","Not supported","80 of 192","20%"
"37121","Not supported","160 of 192","20%"
"37129","Supported","20 of 192","None"
"37137","Supported","160 of 192","5%"
"37145","Supported","80 of 192","5%"
"37153","Supported","160 of 192","5%"
"37161","Supported","80 of 192","20%"
"37169","Not supported","20 of 192","None"
"37177","Not supported","20 of 192","15%"
"37185","Supported","20 of 192","15%"
"37193","Supported","160 of 192","None"
"37201","Supported","20 of 192","None"
"37209","Not supported","20 of 192","15%"
"37217","Supported","20 of 192","None"
"37225","Supported","20 of 192","None"
"37233","Not supported","20 of 192","5%"
"37241","Not supported","20 of 192","None"
"37249","Not supported","160 of 192","15%"
"37257","Supported","160 of 192","15%"
"37265","Not supported","20 of 192","5%"
"37273","Not supported","160 of 192","15%"
"37281","Supported","20 of 192","15%"
"37289","Not supported","80 of 192","20%"
"37297","Not supported","20 of 192","20%"
"37305","Supported","20 of 192","5%"
"37313","Supported","160 of 192","5%"
"37321","Supported","160 of 192","20%"
"37329","Not supported","20 of 192","None"
"37337","Supported","80 of 192","5%"
"37345","Not supported","80 of 192","None"
"37353","Supported","20 of 192","20%"
"37361","Supported","20 of 192","15%"
"37369","Not supported","80 of 192","None"
"37377","Not supported","20 of 192","20%"
"37385","Supported","160 of 192","None"
"37393","Not supported","20 of 192","15%"
"37401","Not supported","80 of 192","5%"
"37409","Not supported","20 of 192","15%"
"37417","Supported","160 of 192","20%"
"37425","Supported","160 of 192","20%"
"37433","Supported","80 of 192","15%"
"37441","Supported","160 of 192","5%"
"37449","Not supported","20 of 192","5%"
"37457","Not supported","80 of 192","15%"
"37465","Supported","160 of 192","20%"
"37473","Not supported","160 of 192","5%"
"37481","Supported","160 of 192","5%"
"37489","Not supported","80 of 192","5%"
"37497","Supported","80 of 192","15%"
"37505","Supported","80 of 192","5%"
"37513","Not supported","20 of 192","5%"
"37521","Not supported","160 of 192","20%"
"37529","Not supported","80 of 192","None"
"37537","Supported","80 of 192","5%"
"37545","Supported","160 of 192","None"
"37553","Not supported","80 of 192","20%"
"37561","Supported","80 of 192","15%"
"37569","Not supported","20 of 192","5%"
"37577","Supported","160 of 192","5%"
"37585","Not supported","80 of 192","5%"
"37593","Supported","80 of 192","5%"
"37601","Not supported","20 of 192","None"
"37609","Not supported","80 of 192","None"
"37617","Not supported","20 of 192","5%"
"37625","Supported","20 of 192","5%"
"37633","Supported","160 of 192","5%"
"37641","Supported","80 of 192","None"
"37649","Supported","80 of 192","20%"
"37657","Not supported","20 of 192","None"
"37665","Not supported","20 of 192","5%"
"37673","Supported","160 of 192","20%"
"37681","Supported","160 of 192","None"
"37689","Supported","160 of 192","20%"
"37697","Supported","160 of 192","5%"
"37705","Supported","80 of 192","20%"
"37713","Supported","160 of 192","20%"
"37721","Supported","20 of 192","15%"
"37729","Not supported","20 of 192","None"
"37737","Not supported","20 of 192","None"
"37745","Not supported","160 of 192","None"
"37753","Not supported","80 of 192","20%"
"37761","Supported","80 of 192","15%"
"37769","Not supported","160 of 192","None"
"37777","Not supported","160 of 192","20%"
"37785","Supported","160 of 192","15%"
"37793","Supported","20 of 192","5%"
"37801","Not supported","80 of 192","15%"
"37809","Supported","160 of 192","None"
"37817","Not supported","20 of 192","15%"
"37825","Supported","80 of 192","5%"
"37833","Not supported","80 of 192","15%"
"37841","Not supported","160 of 192","5%"
"37849","Not supported","160 of 192","None"
"37857","Not supported","160 of 192","5%"
"37865","Not supported","80 of 192","None"
"37873","Supported","160 of 192","None"
"37881","Not supported","80 of 192","5%"
"37889","Supported","160 of 192","5%"
"37897","Supported","160 of 192","None"
"37905","Not supported","80 of 192","15%"
"37913","Supported","160 of 192","5%"
"37921","Not supported","80 of 192","15%"
"37929","Not supported","80 of 192","5%"
"37937","Supported","80 of 192","20%"
"37945","Not supported","20 of 192","15%"
"37953","Not supported","20 of 192","5%"
"37961","Not supported","80 of 192","20%"
"37969","Not supported","160 of 192","5%"
"37977","Supported","80 of 192","None"
"37985","Not supported","80 of 192","20%"
"37993","Supported","160 of 192","None"
"38001","Supported","20 of 192","20%"
"38009","Supported","20 of 192","5%"
"38017","Not supported","20 of 192","15%"
"38025","Supported","20 of 192","5%"
"38033","Not supported","20 of 192","15%"
"38041","Not supported","20 of 192","15%"
"38049","Supported","20 of 192","15%"
"38057","Not supported","80 of 192","None"
"38065","Supported","80 of 192","20%"
"38073","Not supported","160 of 192","5%"
"38081","Supported","160 of 192","20%"
"38089","Supported","80 of 192","20%"
"38097","Supported","160 of 192","15%"
"38105","Supported","160 of 192","None"
"38113","Supported","80 of 192","None"
"38121","Not supported","20 of 192","20%"
"38129","Not supported","20 of 192","20%"
"38137","Supported","80 of 192","20%"
"38145","Not supported","20 of 192","20%"
"38153","Not supported","80 of 192","5%"
"38161","Supported","80 of 192","5%"
"38169","Supported","160 of 192","None"
"38177","Not supported","160 of 192","5%"
"38185","Not supported","20 of 192","15%"
"38193","Not supported","160 of 192","20%"
"38201","Not supported","80 of 192","20%"
"38209","Supported","20 of 192","None"
"38217","Supported","80 of 192","15%"
"38225","Not supported","20 of 192","15%"
"38233","Not supported","80 of 192","None"
"38241","Supported","160 of 192","None"
"38249","Not supported","20 of 192","20%"
"38257","Not supported","80 of 192","15%"
"38265","Supported","80 of 192","None"
"38273","Supported","80 of 192","15%"
"38281","Supported","160 of 192","5%"
"38289","Supported","20 of 192","5%"
"38297","Supported","160 of 192","15%"
"38305","Not supported","20 of 192","20%"
"38313","Not supported","160 of 192","5%"
"38321","Supported","20 of 192","5%"
"38329","Supported","160 of 192","None"
"38337","Not supported","80 of 192","5%"
"38345","Not supported","80 of 192","15%"
"38353","Supported","80 of 192","15%"
"38361","Supported","20 of 192","15%"
"38369","Supported","20 of 192","20%"
"38377","Not supported","20 of 192","15%"
"38385","Supported","80 of 192","None"
"38393","Not supported","80 of 192","20%"
"38401","Supported","80 of 192","None"
"38409","Supported","160 of 192","None"
"38417","Supported","160 of 192","5%"
"38425","Supported","80 of 192","15%"
"38433","Supported","80 of 192","15%"
"38441","Not supported","20 of 192","5%"
"38449","Not supported","80 of 192","5%"
"38457","Not supported","80 of 192","None"
"38465","Supported","160 of 192","15%"
"38473","Not supported","20 of 192","None"
"38481","Not supported","80 of 192","20%"
"38489","Supported","20 of 192","None"
"38497","Supported","20 of 192","5%"
"38505","Supported","80 of 192","5%"
"38513","Supported","160 of 192","None"
"38521","Not supported","20 of 192","15%"
"38529","Supported","80 of 192","15%"
"38537","Supported","80 of 192","None"
"38545","Not supported","80 of 192","20%"
"38553","Supported","80 of 192","20%"
"38561","Supported","160 of 192","None"
"38569","Supported","20 of 192","5%"
"38577","Supported","20 of 192","5%"
"38585","Not supported","160 of 192","15%"
"38593","Supported","20 of 192","20%"
"38601","Supported","80 of 192","None"
"38609","Not supported","160 of 192","20%"
"38617","Not supported","20 of 192","15%"
"38625","Supported","80 of 192","20%"
"38633","Supported","160 of 192","15%"
"38641","Supported","80 of 192","15%"
"38649","Not supported","80 of 192","15%"
"38657","Supported","20 of 192","15%"
"38665","Supported","160 of 192","15%"
"38673","Supported","160 of 192","20%"
"38681","Not supported","20 of 192","20%"
"38689","Not supported","20 of 192","20%"
"38697","Supported","160 of 192","20%"
"38705","Not supported","80 of 192","15%"
"38713","Not supported","160 of 192","15%"
"38721","Supported","20 of 192","5%"
"38729","Not supported","80 of 192","5%"
"38737","Not supported","160 of 192","20%"
"38745","Supported","20 of 192","5%"
"38753","Not supported","80 of 192","5%"
"38761","Supported","80 of 192","15%"
"38769","Supported","160 of 192","20%"
"38777","Supported","80 of 192","None"
"38785","Supported","160 of 192","5%"
"38793","Not supported","20 of 192","None"
"38801","Supported","80 of 192","15%"
"38809","Supported","160 of 192","5%"
"38817","Supported","20 of 192","20%"
"38825","Supported","160 of 192","None"
"38833","Supported","160 of 192","5%"
"38841","Not supported","80 of 192","15%"
"38849","Supported","80 of 192","None"
"38857","Supported","160 of 192","20%"
"38865","Supported","20 of 192","None"
"38873","Not supported","160 of 192","20%"
"38881","Supported","160 of 192","None"
"38889","Supported","80 of 192","5%"
"38897","Not supported","80 of 192","None"
"38905","Not supported","20 of 192","15%"
"38913","Supported","20 of 192","5%"
"38921","Not supported","80 of 192","15%"
"38929","Supported","20 of 192","None"
"38937","Supported","160 of 192","None"
"38945","Supported","20 of 192","15%"
"38953","Not supported","160 of 192","None"
"38961","Not supported","160 of 192","15%"
"38969","Not supported","20 of 192","None"
"38977","Supported","160 of 192","20%"
"38985","Not supported","20 of 192","20%"
"38993","Not supported","20 of 192","None"
"39001","Supported","160 of 192","15%"
"39009","Supported","160 of 192","None"
"39017","Supported","160 of 192","15%"
"39025","Not supported","80 of 192","5%"
"39033","Supported","160 of 192","20%"
"39041","Not supported","20 of 192","20%"
"39049","Not supported","80 of 192","20%"
"39057","Supported","160 of 192","None"
"39065","Supported","160 of 192","15%"
"39073","Not supported","20 of 192","15%"
"39081","Not supported","160 of 192","20%"
"39089","Not supported","80 of 192","5%"
"39097","Supported","160 of 192","5%"
"39105","Not supported","20 of 192","5%"
"39113","Not supported","80 of 192","5%"
"39121","Not supported","20 of 192","20%"
"39129","Supported","80 of 192","15%"
"39137","Supported","80 of 192","None"
"39145","Supported","80 of 192","5%"
"39153","Not supported","160 of 192","15%"
"39161","Supported","160 of 192","5%"
"39169","Not supported","160 of 192","15%"
"39177","Supported","80 of 192","15%"
"39185","Supported","160 of 192","20%"
"39193","Supported","160 of 192","20%"
"39201","Supported","20 of 192","20%"
"39209","Not supported","80 of 192","None"
"39217","Not supported","20 of 192","5%"
"39225","Supported","160 of 192","None"
"39233","Supported","160 of 192","5%"
"39241","Supported","80 of 192","15%"
"39249","Supported","80 of 192","20%"
"39257","Not supported","80 of 192","20%"
"39265","Not supported","20 of 192","20%"
"39273","Not supported","20 of 192","20%"
"39281","Supported","80 of 192","20%"
"39289","Not supported","160 of 192","15%"
"39297","Supported","20 of 192","15%"
"39305","Not supported","160 of 192","20%"
"39313","Not supported","20 of 192","20%"
"39321","Supported","20 of 192","20%"
"39329","Supported","160 of 192","20%"
"39337","Not supported","80 of 192","15%"
"39345","Supported","20 of 192","5%"
"39353","Not supported","20 of 192","20%"
"39361","Supported","80 of 192","5%"
"39369","Not supported","160 of 192","20%"
"39377","Supported","20 of 192","20%"
"39385","Not supported","20 of 192","5%"
"39393","Supported","80 of 192","20%"
"39401","Supported","80 of 192","20%"
"39409","Supported","160 of 192","5%"
"39417","Not supported","80 of 192","20%"
"39425","Supported","160 of 192","None"
"39433","Supported","160 of 192","15%"
"39441","Not supported","20 of 192","20%"
"39449","Supported","80 of 192","None"
"39457","Not supported","20 of 192","None"
"39465","Not supported","80 of 192","5%"
"39473","Not supported","80 of 192","20%"
"39481","Supported","80 of 192","20%"
"39489","Supported","20 of 192","5%"
"39497","Not supported","20 of 192","20%"
"39505","Not supported","160 of 192","15%"
"39513","Not supported","80 of 192","15%"
"39521","Not supported","80 of 192","20%"
"39529","Not supported","80 of 192","20%"
"39537","Supported","160 of 192","20%"
"39545","Not supported","20 of 192","15%"
"39553","Supported","20 of 192","15%"
"39561","Not supported","160 of 192","None"
"39569","Not supported","80 of 192","5%"
"39577","Supported","80 of 192","15%"
"39585","Not supported","20 of 192","15%"
"39593","Not supported","160 of 192","15%"
"39601","Supported","80 of 192","None"
"39609","Not supported","20 of 192","None"
"39617","Not supported","160 of 192","5%"
"39625","Supported","80 of 192","15%"
"39633","Not supported","80 of 192","15%"
"39641","Supported","80 of 192","None"
"39649","Supported","80 of 192","20%"
"39657","Not supported","20 of 192","20%"
"39665","Not supported","160 of 192","15%"
"39673","Supported","20 of 192","15%"
"39681","Supported","80 of 192","5%"
"39689","Not supported","20 of 192","20%"
"39697","Supported","160 of 192","5%"
"39705","Not supported","20 of 192","15%"
"39713","Supported","160 of 192","5%"
"39721","Not supported","80 of 192","None"
"39729","Supported","160 of 192","20%"
"39737","Supported","20 of 192","20%"
"39745","Supported","160 of 192","5%"
"39753","Not supported","160 of 192","15%"
"39761","Not supported","160 of 192","15%"
"39769","Not supported","80 of 192","15%"
"39777","Supported","20 of 192","5%"
"39785","Supported","160 of 192","20%"
"39793","Supported","80 of 192","None"
"39801","Not supported","80 of 192","15%"
"39809","Supported","80 of 192","20%"
"39817","Supported","80 of 192","5%"
"39825","Not supported","80 of 192","15%"
"39833","Supported","80 of 192","None"
"39841","Supported","160 of 192","None"
"39849","Supported","160 of 192","20%"
"39857","Not supported","160 of 192","15%"
"39865","Supported","20 of 192","15%"
"39873","Supported","160 of 192","5%"
"39881","Not supported","80 of 192","None"
"39889","Supported","20 of 192","20%"
"39897","Supported","20 of 192","None"
"39905","Not supported","20 of 192","5%"
"39913","Supported","80 of 192","None"
"39921","Supported","160 of 192","None"
"39929","Supported","160 of 192","5%"
"39937","Supported","20 of 192","None"
"39945","Not supported","160 of 192","None"
"39953","Supported","20 of 192","5%"
"39961","Supported","80 of 192","15%"
"39969","Not supported","20 of 192","15%"
"39977","Supported","80 of 192","15%"
"39985","Not supported","160 of 192","15%"
"39993","Not supported","20 of 192","20%"
"40001","Not supported","80 of 192","20%"
"40009","Supported","160 of 192","15%"
"40017","Supported","160 of 192","20%"
"40025","Not supported","80 of 192","None"
"40033","Supported","20 of 192","None"
"40041","Not supported","20 of 192","20%"
"40049","Not supported","160 of 192","15%"
"40057","Not supported","160 of 192","None"
"40065","Supported","80 of 192","20%"
"40073","Not supported","160 of 192","20%"
"40081","Supported","80 of 192","None"
"40089","Supported","20 of 192","None"
"40097","Supported","160 of 192","15%"
"40105","Not supported","20 of 192","20%"
"40113","Supported","160 of 192","5%"
"40121","Not supported","20 of 192","15%"
"40129","Not supported","20 of 192","5%"
"40137","Not supported","20 of 192","None"
"40145","Supported","160 of 192","None"
"40153","Not supported","160 of 192","None"
"40161","Not supported","160 of 192","15%"
"40169","Not supported","20 of 192","None"
"40177","Not supported","160 of 192","5%"
"40185","Supported","20 of 192","None"
"40193","Supported","160 of 192","15%"
"40201","Supported","80 of 192","20%"
"40209","Supported","160 of 192","15%"
"40217","Supported","160 of 192","15%"
"40225","Supported","160 of 192","15%"
"40233","Supported","160 of 192","15%"
"40241","Supported","80 of 192","5%"
"40249","Not supported","160 of 192","20%"
"40257","Supported","160 of 192","5%"
"40265","Not supported","80 of 192","15%"
"40273","Supported","160 of 192","None"
"40281","Not supported","80 of 192","5%"
"40289","Supported","160 of 192","5%"
"40297","Not supported","20 of 192","None"
"40305","Not supported","20 of 192","None"
"40313","Supported","160 of 192","15%"
"40321","Supported","160 of 192","5%"
"40329","Supported","80 of 192","5%"
"40337","Not supported","80 of 192","15%"
"40345","Supported","80 of 192","None"
"40353","Supported","80 of 192","5%"
"40361","Supported","20 of 192","None"
"40369","Not supported","160 of 192","None"
"40377","Not supported","20 of 192","None"
"40385","Supported","160 of 192","20%"
"40393","Not supported","80 of 192","15%"
"40401","Supported","160 of 192","None"
"40409","Not supported","20 of 192","None"
"40417","Supported","20 of 192","5%"
"40425","Supported","20 of 192","20%"
"40433","Supported","160 of 192","20%"
"40441","Not supported","160 of 192","5%"
"40449","Not supported","20 of 192","None"
"40457","Supported","20 of 192","None"
"40465","Not supported","80 of 192","15%"
"40473","Supported","160 of 192","None"
"40481","Supported","80 of 192","None"
"40489","Supported","160 of 192","5%"
"40497","Not supported","20 of 192","None"
"40505","Supported","160 of 192","15%"
"40513","Supported","80 of 192","None"
"40521","Not supported","160 of 192","None"
"40529","Not supported","20 of 192","None"
"40537","Not supported","80 of 192","15%"
"40545","Not supported","160 of 192","20%"
"40553","Not supported","80 of 192","5%"
"40561","Not supported","20 of 192","None"
"40569","Not supported","20 of 192","20%"
"40577","Supported","80 of 192","None"
"40585","Not supported","20 of 192","5%"
"40593","Supported","20 of 192","5%"
"40601","Supported","80 of 192","20%"
"40609","Supported","20 of 192","5%"
"40617","Not supported","80 of 192","15%"
"40625","Not supported","80 of 192","15%"
"40633","Not supported","160 of 192","None"
"40641","Supported","160 of 192","15%"
"40649","Supported","160 of 192","15%"
"40657","Not supported","20 of 192","15%"
"40665","Supported","20 of 192","20%"
"40673","Not supported","20 of 192","20%"
"40681","Supported","160 of 192","5%"
"40689","Supported","80 of 192","20%"
"40697","Not supported","80 of 192","15%"
"40705","Not supported","80 of 192","None"
"40713","Supported","160 of 192","None"
"40721","Not supported","80 of 192","20%"
"40729","Supported","20 of 192","15%"
"40737","Not supported","160 of 192","15%"
"40745","Supported","80 of 192","15%"
"40753","Not supported","20 of 192","None"
"40761","Not supported","80 of 192","5%"
"40769","Not supported","20 of 192","15%"
"40777","Supported","160 of 192","15%"
"40785","Not supported","160 of 192","15%"
"40793","Supported","160 of 192","20%"
"40801","Not supported","80 of 192","15%"
"40809","Not supported","20 of 192","None"
"40817","Supported","80 of 192","15%"
"40825","Not supported","20 of 192","5%"
"40833","Not supported","20 of 192","None"
"40841","Not supported","20 of 192","15%"
"40849","Supported","80 of 192","5%"
"40857","Not supported","160 of 192","15%"
"40865","Supported","20 of 192","None"
"40873","Supported","20 of 192","15%"
"40881","Supported","20 of 192","5%"
"40889","Supported","80 of 192","5%"
"40897","Supported","160 of 192","15%"
"40905","Supported","160 of 192","None"
"40913","Supported","160 of 192","15%"
"40921","Not supported","80 of 192","15%"
"40929","Supported","80 of 192","5%"
"40937","Supported","20 of 192","5%"
"40945","Supported","160 of 192","5%"
"40953","Not supported","20 of 192","5%"
"40961","Not supported","160 of 192","None"
"40969","Supported","20 of 192","20%"
"40977","Not supported","160 of 192","5%"
"40985","Not supported","160 of 192","20%"
"40993","Not supported","80 of 192","20%"
"41001","Not supported","160 of 192","None"
"41009","Supported","160 of 192","5%"
"41017","Supported","80 of 192","5%"
"41025","Supported","20 of 192","5%"
"41033","Not supported","80 of 192","None"
"41041","Not supported","20 of 192","None"
"41049","Not supported","20 of 192","None"
"41057","Supported","160 of 192","15%"
"41065","Supported","160 of 192","None"
"41073","Supported","80 of 192","5%"
"41081","Not supported","20 of 192","20%"
"41089","Not supported","160 of 192","15%"
"41097","Supported","160 of 192","5%"
"41105","Supported","160 of 192","None"
"41113","Supported","160 of 192","5%"
"41121","Not supported","20 of 192","None"
"41129","Not supported","160 of 192","20%"
"41137","Supported","80 of 192","5%"
"41145","Not supported","160 of 192","20%"
"41153","Supported","20 of 192","None"
"41161","Supported","80 of 192","20%"
"41169","Not supported","20 of 192","None"
"41177","Not supported","160 of 192","15%"
"41185","Supported","160 of 192","None"
"41193","Supported","20 of 192","15%"
"41201","Not supported","20 of 192","20%"
"41209","Supported","160 of 192","20%"
"41217","Not supported","80 of 192","15%"
"41225","Supported","80 of 192","15%"
"41233","Supported","160 of 192","None"
"41241","Not supported","80 of 192","None"
"41249","Not supported","160 of 192","15%"
"41257","Supported","80 of 192","20%"
"41265","Supported","20 of 192","5%"
"41273","Supported","160 of 192","15%"
"41281","Not supported","80 of 192","5%"
"41289","Not supported","80 of 192","5%"
"41297","Not supported","20 of 192","5%"
"41305","Supported","160 of 192","None"
"41313","Supported","160 of 192","None"
"41321","Supported","160 of 192","5%"
"41329","Not supported","80 of 192","20%"
"41337","Supported","80 of 192","None"
"41345","Not supported","20 of 192","15%"
"41353","Supported","160 of 192","20%"
"41361","Supported","20 of 192","20%"
"41369","Not supported","160 of 192","20%"
"41377","Supported","160 of 192","15%"
"41385","Not supported","160 of 192","20%"
"41393","Supported","160 of 192","None"
"41401","Supported","20 of 192","None"
"41409","Supported","80 of 192","15%"
"41417","Supported","80 of 192","None"
"41425","Not supported","20 of 192","20%"
"41433","Supported","20 of 192","15%"
"41441","Supported","20 of 192","5%"
"41449","Not supported","20 of 192","15%"
"41457","Not supported","160 of 192","15%"
"41465","Supported","20 of 192","None"
"41473","Not supported","20 of 192","20%"
"41481","Not supported","80 of 192","15%"
"41489","Supported","160 of 192","5%"
"41497","Not supported","20 of 192","5%"
"41505","Not supported","20 of 192","5%"
"41513","Supported","160 of 192","5%"
"41521","Supported","20 of 192","20%"
"41529","Supported","80 of 192","5%"
"41537","Not supported","160 of 192","5%"
"41545","Supported","80 of 192","15%"
"41553","Supported","80 of 192","5%"
"41561","Not supported","20 of 192","None"
"41569","Supported","80 of 192","5%"
"41577","Not supported","160 of 192","15%"
"41585","Supported","80 of 192","None"
"41593","Not supported","80 of 192","20%"
"41601","Supported","160 of 192","None"
"41609","Not supported","20 of 192","20%"
"41617","Not supported","160 of 192","15%"
"41625","Supported","20 of 192","5%"
"41633","Not supported","80 of 192","5%"
"41641","Supported","80 of 192","5%"
"41649","Supported","20 of 192","5%"
"41657","Supported","80 of 192","15%"
"41665","Supported","80 of 192","15%"
"41673","Not supported","160 of 192","None"
"41681","Supported","80 of 192","15%"
"41689","Not supported","80 of 192","20%"
"41697","Not supported","20 of 192","5%"
"41705","Not supported","80 of 192","20%"
"41713","Supported","80 of 192","None"
"41721","Supported","160 of 192","None"
"41729","Not supported","20 of 192","None"
"41737","Not supported","160 of 192","5%"
"41745","Supported","80 of 192","None"
"41753","Supported","80 of 192","5%"
"41761","Supported","160 of 192","15%"
"41769","Not supported","160 of 192","15%"
"41777","Not supported","160 of 192","15%"
"41785","Not supported","160 of 192","20%"
"41793","Supported","160 of 192","15%"
"41801","Supported","160 of 192","20%"
"41809","Supported","20 of 192","None"
"41817","Not supported","80 of 192","None"
"41825","Supported","80 of 192","5%"
"41833","Not supported","160 of 192","15%"
"41841","Not supported","80 of 192","None"
"41849","Not supported","20 of 192","None"
"41857","Supported","160 of 192","15%"
"41865","Not supported","20 of 192","5%"
"41873","Not supported","80 of 192","20%"
"41881","Not supported","20 of 192","15%"
"41889","Not supported","20 of 192","15%"
"41897","Not supported","20 of 192","5%"
"41905","Not supported","160 of 192","None"
"41913","Supported","80 of 192","15%"
"41921","Not supported","80 of 192","20%"
"41929","Supported","160 of 192","20%"
"41937","Supported","80 of 192","None"
"41945","Supported","80 of 192","None"
"41953","Supported","80 of 192","20%"
"41961","Not supported","20 of 192","15%"
"41969","Not supported","20 of 192","5%"
"41977","Supported","80 of 192","15%"
"41985","Not supported","160 of 192","15%"
"41993","Not supported","160 of 192","20%"
"42001","Not supported","160 of 192","15%"
"42009","Not supported","160 of 192","20%"
"42017","Supported","20 of 192","5%"
"42025","Not supported","80 of 192","None"
"42033","Not supported","20 of 192","15%"
"42041","Supported","160 of 192","15%"
"42049","Supported","20 of 192","5%"
"42057","Not supported","20 of 192","5%"
"42065","Supported","160 of 192","None"
"42073","Supported","20 of 192","15%"
"42081","Not supported","80 of 192","5%"
"42089","Not supported","80 of 192","20%"
"42097","Not supported","80 of 192","5%"
"42105","Not supported","80 of 192","15%"
"42113","Supported","80 of 192","None"
"42121","Not supported","20 of 192","5%"
"42129","Supported","20 of 192","None"
"42137","Supported","160 of 192","None"
"42145","Not supported","80 of 192","15%"
"42153","Not supported","20 of 192","5%"
"42161","Not supported","20 of 192","20%"
"42169","Supported","20 of 192","20%"
"42177","Supported","20 of 192","15%"
"42185","Not supported","20 of 192","5%"
"42193","Not supported","160 of 192","15%"
"42201","Not supported","160 of 192","15%"
"42209","Not supported","80 of 192","None"
"42217","Supported","20 of 192","None"
"42225","Supported","20 of 192","None"
"42233","Not supported","20 of 192","15%"
"42241","Supported","160 of 192","20%"
"42249","Supported","160 of 192","5%"
"42257","Not supported","80 of 192","5%"
"42265","Not supported","80 of 192","5%"
"42273","Supported","80 of 192","15%"
"42281","Supported","160 of 192","15%"
"42289","Supported","160 of 192","5%"
"42297","Supported","80 of 192","15%"
"42305","Supported","20 of 192","15%"
"42313","Supported","80 of 192","5%"
"42321","Not supported","160 of 192","None"
"42329","Supported","160 of 192","5%"
"42337","Not supported","160 of 192","20%"
"42345","Not supported","80 of 192","20%"
"42353","Not supported","160 of 192","None"
"42361","Not supported","20 of 192","20%"
"42369","Not supported","80 of 192","15%"
"42377","Not supported","80 of 192","5%"
"42385","Not supported","80 of 192","20%"
"42393","Supported","80 of 192","15%"
"42401","Not supported","20 of 192","15%"
"42409","Not supported","80 of 192","5%"
"42417","Not supported","80 of 192","15%"
"42425","Not supported","80 of 192","15%"
"42433","Supported","160 of 192","15%"
"42441","Not supported","20 of 192","5%"
"42449","Not supported","20 of 192","None"
"42457","Not supported","20 of 192","15%"
"42465","Not supported","160 of 192","20%"
"42473","Not supported","80 of 192","5%"
"42481","Supported","160 of 192","5%"
"42489","Supported","20 of 192","None"
"42497","Not supported","20 of 192","None"
"42505","Supported","20 of 192","20%"
"42513","Supported","80 of 192","5%"
"42521","Supported","160 of 192","20%"
"42529","Supported","80 of 192","20%"
"42537","Supported","20 of 192","20%"
"42545","Not supported","80 of 192","None"
"42553","Not supported","160 of 192","None"
"42561","Not supported","20 of 192","None"
"42569","Supported","20 of 192","5%"
"42577","Not supported","20 of 192","5%"
"42585","Not supported","80 of 192","15%"
"42593","Not supported","20 of 192","20%"
"42601","Supported","80 of 192","20%"
"42609","Not supported","20 of 192","5%"
"42617","Supported","80 of 192","20%"
"42625","Supported","160 of 192","20%"
"42633","Supported","160 of 192","5%"
"42641","Not supported","80 of 192","None"
"42649","Supported","20 of 192","5%"
"42657","Not supported","20 of 192","None"
"42665","Supported","160 of 192","5%"
"42673","Not supported","80 of 192","5%"
"42681","Supported","20 of 192","5%"
"42689","Not supported","20 of 192","20%"
"42697","Supported","160 of 192","5%"
"42705","Not supported","20 of 192","20%"
"42713","Not supported","20 of 192","20%"
"42721","Supported","20 of 192","5%"
"42729","Not supported","160 of 192","20%"
"42737","Supported","160 of 192","15%"
"42745","Not supported","20 of 192","None"
"42753","Not supported","80 of 192","5%"
"42761","Supported","160 of 192","None"
"42769","Not supported","160 of 192","None"
"42777","Not supported","20 of 192","None"
"42785","Supported","80 of 192","None"
"42793","Supported","20 of 192","None"
"42801","Supported","80 of 192","5%"
"42809","Supported","160 of 192","None"
"42817","Supported","80 of 192","20%"
"42825","Supported","80 of 192","15%"
"42833","Supported","160 of 192","5%"
"42841","Supported","80 of 192","5%"
"42849","Not supported","160 of 192","20%"
"42857","Supported","80 of 192","5%"
"42865","Not supported","160 of 192","None"
"42873","Not supported","80 of 192","None"
"42881","Not supported","160 of 192","15%"
"42889","Not supported","80 of 192","20%"
"42897","Supported","80 of 192","None"
"42905","Supported","80 of 192","None"
"42913","Supported","20 of 192","15%"
"42921","Not supported","80 of 192","15%"
"42929","Supported","80 of 192","5%"
"42937","Supported","160 of 192","5%"
"42945","Not supported","160 of 192","5%"
"42953","Not supported","80 of 192","20%"
"42961","Supported","160 of 192","None"
"42969","Not supported","160 of 192","20%"
"42977","Supported","160 of 192","15%"
"42985","Not supported","160 of 192","15%"
"42993","Supported","20 of 192","20%"
"43001","Not supported","20 of 192","None"
"43009","Not supported","80 of 192","5%"
"43017","Not supported","80 of 192","20%"
"43025","Supported","80 of 192","5%"
"43033","Not supported","20 of 192","None"
"43041","Not supported","160 of 192","15%"
