"","choice","countries","sanctions"
"2241","Supported","160 of 192","20%"
"2249","Not supported","160 of 192","None"
"2257","Supported","160 of 192","5%"
"2265","Supported","20 of 192","5%"
"2273","Supported","80 of 192","15%"
"2281","Not supported","160 of 192","20%"
"2289","Supported","20 of 192","5%"
"2297","Not supported","80 of 192","None"
"2305","Supported","160 of 192","20%"
"2313","Supported","20 of 192","5%"
"2321","Not supported","20 of 192","None"
"2329","Not supported","80 of 192","20%"
"2337","Not supported","20 of 192","20%"
"2345","Supported","160 of 192","15%"
"2353","Supported","80 of 192","None"
"2361","Supported","20 of 192","None"
"2369","Not supported","20 of 192","None"
"2377","Supported","20 of 192","5%"
"2385","Supported","160 of 192","None"
"2393","Not supported","20 of 192","15%"
"2401","Not supported","160 of 192","5%"
"2409","Not supported","160 of 192","20%"
"2417","Supported","160 of 192","20%"
"2425","Supported","80 of 192","5%"
"2433","Supported","160 of 192","20%"
"2441","Not supported","20 of 192","15%"
"2449","Not supported","160 of 192","20%"
"2457","Not supported","80 of 192","15%"
"2465","Supported","80 of 192","None"
"2473","Not supported","160 of 192","5%"
"2481","Supported","80 of 192","5%"
"2489","Not supported","80 of 192","20%"
"2497","Supported","160 of 192","None"
"2505","Supported","20 of 192","5%"
"2513","Supported","160 of 192","None"
"2521","Not supported","20 of 192","15%"
"2529","Not supported","160 of 192","None"
"2537","Not supported","20 of 192","5%"
"2545","Supported","20 of 192","15%"
"2553","Not supported","20 of 192","None"
"2561","Supported","80 of 192","20%"
"2569","Supported","80 of 192","15%"
"2577","Not supported","80 of 192","None"
"2585","Supported","20 of 192","None"
"2593","Not supported","80 of 192","20%"
"2601","Not supported","160 of 192","None"
"2609","Supported","20 of 192","None"
"2617","Supported","20 of 192","20%"
"2625","Not supported","20 of 192","20%"
"2633","Not supported","160 of 192","None"
"2641","Supported","160 of 192","15%"
"2649","Supported","80 of 192","15%"
"2657","Not supported","20 of 192","20%"
"2665","Supported","160 of 192","15%"
"2673","Not supported","20 of 192","5%"
"2681","Supported","160 of 192","5%"
"2689","Supported","20 of 192","None"
"2697","Not supported","20 of 192","20%"
"2705","Supported","20 of 192","20%"
"2713","Not supported","80 of 192","15%"
"2721","Not supported","20 of 192","20%"
"2729","Not supported","80 of 192","15%"
"2737","Supported","160 of 192","20%"
"2745","Supported","160 of 192","15%"
"2753","Not supported","160 of 192","None"
"2761","Supported","80 of 192","5%"
"2769","Not supported","160 of 192","15%"
"2777","Supported","160 of 192","None"
"2785","Supported","160 of 192","15%"
"2793","Not supported","160 of 192","None"
"2801","Supported","20 of 192","5%"
"2809","Supported","20 of 192","5%"
"2817","Not supported","80 of 192","5%"
"2825","Supported","160 of 192","15%"
"2833","Supported","80 of 192","5%"
"2841","Not supported","160 of 192","20%"
"2849","Supported","160 of 192","20%"
"2857","Supported","160 of 192","None"
"2865","Supported","160 of 192","5%"
"2873","Supported","80 of 192","None"
"2881","Supported","80 of 192","20%"
"2889","Not supported","80 of 192","20%"
"2897","Not supported","80 of 192","20%"
"2905","Supported","80 of 192","15%"
"2913","Supported","80 of 192","None"
"2921","Supported","20 of 192","20%"
"2929","Supported","20 of 192","15%"
"2937","Not supported","80 of 192","5%"
"2945","Supported","80 of 192","None"
"2953","Not supported","160 of 192","20%"
"2961","Not supported","160 of 192","20%"
"2969","Supported","160 of 192","15%"
"2977","Supported","160 of 192","5%"
"2985","Supported","20 of 192","20%"
"2993","Supported","20 of 192","15%"
"3001","Not supported","160 of 192","5%"
"3009","Not supported","20 of 192","5%"
"3017","Not supported","20 of 192","20%"
"3025","Not supported","20 of 192","None"
"3033","Supported","20 of 192","5%"
"3041","Supported","20 of 192","20%"
"3049","Not supported","20 of 192","15%"
"3057","Not supported","80 of 192","20%"
"3065","Not supported","20 of 192","20%"
"3073","Not supported","80 of 192","15%"
"3081","Supported","160 of 192","15%"
"3089","Supported","80 of 192","None"
"3097","Supported","20 of 192","15%"
"3105","Supported","80 of 192","15%"
"3113","Supported","160 of 192","15%"
"3121","Not supported","20 of 192","5%"
"3129","Not supported","160 of 192","15%"
"3137","Supported","160 of 192","20%"
"3145","Not supported","80 of 192","None"
"3153","Supported","20 of 192","20%"
"3161","Supported","80 of 192","15%"
"3169","Not supported","160 of 192","15%"
"3177","Supported","80 of 192","20%"
"3185","Not supported","80 of 192","20%"
"3193","Not supported","20 of 192","5%"
"3201","Supported","20 of 192","15%"
"3209","Not supported","80 of 192","None"
"3217","Supported","160 of 192","15%"
"3225","Supported","80 of 192","5%"
"3233","Supported","80 of 192","15%"
"3241","Not supported","20 of 192","15%"
"3249","Not supported","20 of 192","5%"
"3257","Supported","20 of 192","5%"
"3265","Not supported","160 of 192","15%"
"3273","Not supported","20 of 192","20%"
"3281","Not supported","80 of 192","15%"
"3289","Not supported","20 of 192","20%"
"3297","Not supported","80 of 192","20%"
"3305","Supported","160 of 192","20%"
"3313","Not supported","20 of 192","15%"
"3321","Supported","80 of 192","5%"
"3329","Not supported","80 of 192","15%"
"3337","Supported","80 of 192","5%"
"3345","Supported","20 of 192","15%"
"3353","Not supported","20 of 192","5%"
"3361","Not supported","80 of 192","15%"
"3369","Not supported","20 of 192","None"
"3377","Supported","160 of 192","None"
"3385","Not supported","20 of 192","20%"
"3393","Not supported","20 of 192","None"
"3401","Not supported","20 of 192","20%"
"3409","Not supported","20 of 192","None"
"3417","Not supported","20 of 192","5%"
"3425","Not supported","20 of 192","5%"
"3433","Not supported","80 of 192","None"
"3441","Supported","160 of 192","5%"
"3449","Supported","80 of 192","15%"
"3457","Supported","80 of 192","None"
"3465","Supported","80 of 192","20%"
"3473","Not supported","80 of 192","None"
"3481","Supported","160 of 192","5%"
"3489","Supported","160 of 192","15%"
"3497","Supported","80 of 192","5%"
"3505","Supported","80 of 192","5%"
"3513","Supported","80 of 192","15%"
"3521","Supported","160 of 192","20%"
"3529","Not supported","20 of 192","5%"
"3537","Supported","160 of 192","5%"
"3545","Supported","160 of 192","15%"
"3553","Not supported","20 of 192","20%"
"3561","Supported","160 of 192","20%"
"3569","Supported","20 of 192","15%"
"3577","Supported","20 of 192","15%"
"3585","Not supported","20 of 192","15%"
"3593","Not supported","80 of 192","None"
"3601","Supported","80 of 192","15%"
"3609","Not supported","80 of 192","5%"
"3617","Supported","80 of 192","5%"
"3625","Supported","20 of 192","15%"
"3633","Supported","160 of 192","None"
"3641","Supported","80 of 192","20%"
"3649","Supported","160 of 192","5%"
"3657","Not supported","80 of 192","20%"
"3665","Not supported","80 of 192","None"
"3673","Supported","80 of 192","5%"
"3681","Supported","160 of 192","5%"
"3689","Not supported","80 of 192","20%"
"3697","Not supported","80 of 192","20%"
"3705","Supported","160 of 192","None"
"3713","Not supported","80 of 192","None"
"3721","Supported","80 of 192","15%"
"3729","Supported","80 of 192","None"
"3737","Not supported","160 of 192","15%"
"3745","Supported","20 of 192","15%"
"3753","Not supported","80 of 192","5%"
"3761","Not supported","80 of 192","5%"
"3769","Supported","160 of 192","15%"
"3777","Supported","80 of 192","None"
"3785","Not supported","160 of 192","5%"
"3793","Not supported","80 of 192","15%"
"3801","Not supported","20 of 192","None"
"3809","Supported","160 of 192","20%"
"3817","Not supported","20 of 192","20%"
"3825","Supported","160 of 192","None"
"3833","Not supported","80 of 192","None"
"3841","Not supported","20 of 192","20%"
"3849","Supported","20 of 192","15%"
"3857","Not supported","20 of 192","15%"
"3865","Supported","80 of 192","15%"
"3873","Supported","80 of 192","5%"
"3881","Supported","160 of 192","20%"
"3889","Supported","80 of 192","None"
"3897","Supported","20 of 192","5%"
"3905","Not supported","80 of 192","15%"
"3913","Supported","20 of 192","5%"
"3921","Supported","20 of 192","5%"
"3929","Supported","160 of 192","20%"
"3937","Supported","20 of 192","5%"
"3945","Not supported","80 of 192","15%"
"3953","Not supported","20 of 192","5%"
"3961","Not supported","80 of 192","None"
"3969","Not supported","160 of 192","None"
"3977","Supported","160 of 192","5%"
"3985","Not supported","160 of 192","20%"
"3993","Supported","80 of 192","15%"
"4001","Supported","20 of 192","20%"
"4009","Not supported","160 of 192","20%"
"4017","Not supported","20 of 192","5%"
"4025","Not supported","160 of 192","None"
"4033","Not supported","20 of 192","None"
"4041","Not supported","80 of 192","20%"
"4049","Supported","160 of 192","20%"
"4057","Supported","80 of 192","20%"
"4065","Supported","20 of 192","15%"
"4073","Not supported","80 of 192","5%"
"4081","Supported","160 of 192","5%"
"4089","Not supported","80 of 192","None"
"4097","Not supported","160 of 192","5%"
"4105","Supported","80 of 192","20%"
"4113","Not supported","80 of 192","20%"
"4121","Not supported","160 of 192","20%"
"4129","Supported","20 of 192","20%"
"4137","Not supported","160 of 192","None"
"4145","Supported","20 of 192","20%"
"4153","Supported","160 of 192","None"
"4161","Supported","80 of 192","15%"
"4169","Supported","80 of 192","15%"
"4177","Not supported","20 of 192","None"
"4185","Supported","80 of 192","None"
"4193","Not supported","80 of 192","5%"
